Title,Year,Authors,GatesAuthors
Dense and Non-Dense Families of Complexity Classes,1969,"Allan Borodin, Robert L. Constable, John E. Hopcroft, ","John Hopcroft, Robert Constable"
Detecting and Capitalizing on Physiological Dimensions of Psychiatric Illness.,2016,"Mark Matthews, Saeed Abdullah, Geri Gay, Tanzeem Choudhury, ","Geri Gay, Tanzeem Choudhury"
Detecting Overlapping Communities from Local Spectral Subspaces.,2015,"Kun He, Yiwei Sun, David Bindel, John E. Hopcroft, Yixuan Li, ","David Bindel, John Hopcroft"
Developing Correctly Replicated Databases Using Formal Tools.,2014,"Nicolas Schiper, Vincent Rahli, Robbert van Renesse, Mark Bickford, Robert L. Constable, ","Robbert van Renesse, Robert Constable"
Device Driver Safety Through a Reference Validation Mechanism.,2008,"Dan Williams, Patrick Reynolds, Kevin Walsh, Emin G神n Sirer, Fred B. Schneider, ","Emin Gun Sirer, Fred Schneider"
Distributed Protocols and Heterogeneous Trust - Technical Report.,2014,"Isaac C. Sheff, Robbert van Renesse, Andrew C. Myers, ","Andrew Myers, Robbert van Renesse"
Does Bad News Go Away Faster?,2011,"Shaomei Wu, Chenhao Tan, Jon M. Kleinberg, Michael W. Macy, ","Jon Kleinberg, Michael Macy"
Don't 'Have a Clue'? Unsupervised Co-Learning of Downward-Entailing Operators.,2010,"Cristian Danescu-Niculescu-Mizil, Lillian Lee, ","Cristian Danescu-Niculescu-Mizil, Lillian Lee"
Echoes of power - Language effects and power differences in social interaction,2011,"Cristian Danescu-Niculescu-Mizil, Lillian Lee, Bo Pang, Jon M. Kleinberg, ","Cristian Danescu-Niculescu-Mizil, Jon Kleinberg, Lillian Lee"
Echoes of power - language effects and power differences in social interaction.,2012,"Cristian Danescu-Niculescu-Mizil, Lillian Lee, Bo Pang, Jon M. Kleinberg, ","Cristian Danescu-Niculescu-Mizil, Jon Kleinberg, Lillian Lee"
Economics of a supercloud.,2016,"Ian A. Kash, Qin Jia, Zhiming Shen, Weijia Song, Robbert van Renesse, Hakim Weatherspoon, ","Hakim Weatherspoon, Robbert van Renesse"
